那些只听前奏就中毒的英文歌,流行-欧美-快乐,介绍：地铁，公交，上班途中，回家路上，一首前奏放松心情,393万,193354032,16,10365
东斯拉夫丨后苏联时代后朋冷潮的复古美学,欧美-摇滚-另类/独立,介绍：封面：捷克斯洛伐克Hotel Panorama，也是Molchat Doma的专辑封面来源。【粗野主义·野兽派建筑】20世纪中叶流行的一种建筑风格，以夸张粗重的混凝土构件、暴露不加修饰的结构和设施为形式特征。战后时期的重建，特别是东欧国家，例如俄罗斯、南斯拉夫和捷克斯洛伐克。【后朋克】自1977年朋克革命后，在朋克的独立精神和直白表达的鼓舞下，许多乐队涌现出来。部分乐队因其反文化精神和对既定的摇滚习俗的反抗而联合在一起，如 Joy Division、The Cure用合成器和吉他创造了一种黑暗、阴郁的音乐表达形式。【冷潮】是后朋的一种变种流派，Coldwave是一个没有严格定义的概念，它也许只是来自某个记者或乐迷的灵机一动。沉静、幽邃富有冥想色彩的电子元素配合传统哥特男声以及迷幻吉他够成了这个词所要表达的全部。【苏维埃朋克】苏联冷峻又恢宏的“野兽派”建筑群貌投射向了极具时代性的社会理想极其实践的缩影，这种粗野冷峻的美感与阴郁的后朋冷嘲音乐很契合，尤其在气候寒冷的高纬度地区。许多苏联时期的“粗野派”建筑伴随着 1990 年代政权的解体而置身荒野永久被尘封，但那些被真实自然呈现的建筑材料状态永远记载住了从乌托邦推向现实的社会理想实践。对于“粗野主义”的新鉴赏，也许在这个混乱的真实世界中，“坚固性”和“持久性”会显得格外吸引人。近些年后朋复兴，俄语后朋克音乐在各播放列表上都有获得数百万播放，全世界的听众都在关注着后苏联时代的音乐美学，在冷峻与复古的融合中找到了依靠。后苏联时代怪异粗野的野兽派建筑发出声响，来自斯拉夫的音乐场景正经历着巨大的后朋克热潮。【歌单收集】（后苏联时代后朋克不完全收录，以东斯拉夫三国为主）俄罗斯：Motorama、Human Tetris、Utro、Ploho等白俄罗斯：Molchat Doma、Dlina Volny、Nurnberg等乌克兰：The Glass Beads、Small Depo等,46088,1456107,63,196
浪漫R&B｜微醺浸染 或丝般柔顺 或梦般性感,R&B/Soul-流行-欧美,介绍：把破碎的暧昧，都揉进雾气氤氲的夜色里，消弭殆尽.等霓虹爬满了街，那是仲夏夜第一次萧瑟的浸润，那是漫天星斗匍匐在沥青上的参差，上帝将自己的眼泪揉碎，洗清纷扰的世界，拉起一面面波光潋滟的帷幕，这帷幕醒了旷野，净了深林，染了翠湖……（尊重原创，歌单别盗）,5397,277043,116,6
欧美说唱 | 百变flow纵享丝滑,欧美-说唱-放松,介绍：来自火星的丝滑体验 这里有你未曾熟知的欧美饶舌天才 通过歌曲中的细微反差制造惊喜和乐趣 歌单中的歌曲排名不分先后 作品经过筛选后数量将逐渐增加 这将是一份让人难忘的说唱歌单 也是送给前来到访嘉宾的大礼包,5978,749707,190,71
浪漫星空物语☆空灵嗓音与星辰旋律,欧美-清新-夜晚,介绍：抬头看看天空吧你喜欢的人和你在同一片星空下呢包揽下一整片星空的浪漫--------------------------------------------------------------歌单根据聆听氛围分为①天渐渐暗下来看着蔚蓝的天空②深夜了 对面楼的灯都熄灭了只剩下路灯杆下的匆匆过客-------------------------------------------------------------歌单灵感来源于you were good to me一首温柔的音乐“轻缓小调低吟男嗓启声便沉醉在心底浅唱女声启唇便沉沦于其中指尖轻弹琴谱于黑白琴键间滑拨动余弦吟游唱出心声传向港湾”-------------------------------------------------------------建议音量：35%～50%最佳时间:19:00后心动系列①,60005,4198617,129,261
『英伦女声』遗世而独立的不列颠玫瑰,欧美-英伦-另类/独立,介绍：你喜欢特立独行的骚灵传奇、爵士名伶Amy Winehouse，还是抒情天后，业界bug，以一己之力撑起英国唱片工业销量半边天的Adele呢?亦或是谦和内敛稳扎稳打的创作才女Dido，而遗世独立，空灵婉约的鸟妹Birdy似乎也让人迷恋沉醉。被誉为“卡朋特接班人”浅吟低唱的Rumer则是你的情绪慰藉；危险甜心啪姐Dua Lipa 这下一站天后也不遑多让。小枝FKA twigs的标新立异、巴洛克侵袭，还有混血小萝莉Jasmine Thompson的后生可畏……无论哪个时间段，英伦才女们都在丰富着大不列颠的音乐史，为英国乐坛添砖加瓦，留下浓墨重彩的一笔，英伦玫瑰傲然盛放，遗世而独立，在大不列颠书写着自己的绰约风姿与不朽人生。封面：Amy Winehouse,24707,2740364,119,115
心驰神往，欧洲中古风格民谣,民谣-欧美-小语种,介绍：其实中古民谣即是民谣哥特。旋律哀婉，凄凉，伴有一丝诡异，却不失动听。那么，就请闭上眼睛，来欣赏这份独特的美吧。,21万,5010778,45,926
Bossa Nova惬意的下午茶时光,欧美-Bossa Nova-放松,介绍：巴萨诺瓦（Bossa Nova）是巴西土生土长的音乐，当巴西森巴舞曲遇到美国冷爵士，融合各自部分特色而又自成一格，乍听简洁轻快却结构复杂。乐器的音阶或和弦转换的行进方式变幻莫测，往往乍听下以为可以掌握旋律的起落和节奏，和弦一转换后即捕足不及。旋律可行板或中板速度进行。听起来轻松柔和、 慵懒甜美、浪漫性感。与传统南美及拉丁音乐不同的是，巴萨诺瓦不像森巴或伦巴那样节奏强烈，除拥有南美音乐的热情外，还带有一份慵懒和轻松的感觉。,41700,3831729,45,120
100位欧美90后歌手：他们把青春给了音乐,欧美-流行-90后,介绍：12月17日重新选曲，删减并增加了部分歌手，对百分之95的歌手代表曲目进行了替换由于字数限制只介绍一部分，其他歌手也值得大家深入了解1:【Ed Sheeran】第32届全英音乐奖最佳男歌手，专辑“×”是英国2014年的销量冠军，并成为当年的最佳专辑。和专辑女王Adele相对应的，他是单曲皇帝。单曲“Thinking Out Loud”卖出1950万份拷贝，位居21世纪第三位。2017年发行“Shape of You"，英国乐坛迎来了历史上第3首认证5白金的单曲。同年发行第三张录音室专辑“÷”，专辑所有曲目全部进入前20，这是史无前例的事件2:【Charlie Puth】“See You Again"卖出2090万份拷贝，位居21世纪第一名。MV是YouTube网站播放最多的视频，达到了30亿3:【Sam Smith】和Ed Sheeran平分秋色的英国顶尖歌手。2015年拿到年度单曲，年度制作，年度专辑，年度新人4项格莱美4:【Justin Bieber】15岁时他就拿到了和格莱美齐名的全美音乐奖。2015年和英国巨星Adele在全英单曲榜上厮杀，强行压制Adele在英国登顶。在市场更大的美国，凭借“Love Yourself"和“Sorry”霸占年度销量榜前两名。没有任何一个人可以在相同的年纪里取得和他并肩的成就。5:【One Direction全员】“What Makes You Beautiful"不仅拿到了全英音乐奖，还帮助这个成立只有1年的组合获得了美国的青睐，这是包括西城和TT在内的诸多顶尖男团都没有做到的事。2013年发行的第三张录音室专辑“Midnight Memories”成为全球年度销量冠军，全球最顶尖组合名副其实6:【迪斯尼重点培养的3名少女明星】【Selena】代表作“We Don't Talk Anymore"【Miley】发行的电视原声带登上公告牌榜首【Demi】代表作“Let It Go”7:【Marcua Warner】以成为全职电影配乐家为目标。想完成的事是：可以把流行乐和管弦乐联系起来8:【Against the Current】2017年演唱英雄联盟全球总决赛主题曲“Legends Never Die”9:【Louisa Johnson】X Factor最年轻的冠军，夺冠时只有17岁,24万,18249516,100,2188
欧美节奏 | 节奏感满满的欧美歌曲,欧美-流行-兴奋,介绍：介绍：在那曼妙的旋律中，我仿佛被带入了一个奇妙的世界，音符们翩翩起舞，节奏跳动着，让我的灵魂不由自主地随之摇曳。每一次的节拍都如同心跳一般，快速而有力地敲打着我的心扉，让我感受到生命的无限可能。在那富有节奏的旋律中，我仿佛飞翔在天际，畅游在广阔而未知的宇宙中。没有压抑和束缚，只有自由和梦想。当我合上眼睛，全身沉浸在那波涛汹涌的音乐海洋中，我可以感受到自己的存在变得更加真实，更加清晰。在这个世界上，我们可以成为任何想成为的人，做任何想做的事，只要我们愿意，一切都有可能。,7668,1126362,162,58
[ 运动音乐 ] 脂肪与美貌不可兼得,运动-欧美-流行,介绍：强节奏的音乐是进行强运动的第一步，剩下的就靠自己好好造化吧！,99810,8974933,47,447
欧美R&B || 慵懒旋律搭配成熟磁嗓,欧美-R&B/Soul-放松,介绍：R&B曲风的前奏真的好醉，需要歌手有着顺滑好听的音色和闲适轻松的气质，让人忍不住跟着轻轻摇摆，一首首促进多巴胺分泌的歌，又飒、又慵懒、又舒服，伸着懒腰听，独一份的浪漫请在今晚出现，躺在床上心脏与温柔的嗓音共振。,3565,349303,82,12
R&B♡保持清醒的灵魂 总会遇到契合的人,欧美-R&B/Soul-治愈,介绍：世界上总是会有烦恼，将它解决掉就好了，没有什么事情是过不去的，只是它会存在心上放不下而已。,5203,530054,80,7
浪漫R&B｜丝滑节奏鼓点 绕耳心动氛围,欧美-流行-R&B/Soul,介绍：牵手，拥抱和亲吻，头靠在肩膀，看电影约会，漫步在森林里，拍照，一起做饭，搭配衣服，枕头大战，跳舞，日光浴，凝视星星，oversized运动衫借用，看日落，游乐园的过山车，夜晚的摩天轮，河边散步，哗哗的水声,30,4404,106,评论
Relaxing Songs | 下班后与音乐一起归家吧,欧美-驾车-放松,介绍：下班回家路上有了这些music你再也不会害怕面对拥挤的路段和驾驶的疲惫感放松下来享受此刻的舒适就好风格类型: Pop / R&B / Dace / Rap /精选更新中…绝对合你口味！点进来赶快收藏！,696,114700,60,5
温柔的摇滚吟颂者,摇滚-欧美-工作,介绍：温柔摇滚的魅力在于，轻声诉说内心的痛苦，吉他弦扫过的都是宣泄的音符，击中你无声呐喊的灵魂。Cover：泰勒·摩森（Taylor Momsen）,96681,5062383,63,883
心动R&B：快乐鼓点 带点可愛甜蜜的味道,欧美-流行-R&B/Soul,介绍：浪漫soul，R&B血型，果酒般清甜、微醺氛围，轻快鼓点，清新慵懒，听起来带着些许俏皮可愛的味道，奶油味、草莓味 、柠檬味 、薄荷味、反正很好听就是噜~（有些不是醇正R&B，因为曲风很轻快，偏甜也收录啦，请放心食用~）治愈分享：想回到那个七月的傍晚落日的余晖把天空染得很红耳朵里是不同的车鸣声每当有风吹过树叶沙沙的响声会一下充满耳朵那个时候我们离得不远会有各种关于未来的期待偶尔会有难过的时候不过很快就都会好起来.尊重原创，歌单别盗.,8077,461843,146,21
欧美氛围R&B ｜ 听节奏布鲁斯才是正经事,流行-R&B/Soul-欧美,介绍：还记得她跟我说过 “ 女人在面对鲜花和猫时，是不求回报的，因为她没有任何好处给到自己，我图她什么呢？反正我也留不住它，可我就是爱。”-存下很多好听的歌，突然发现好多都是R&B的，是的，就是流行乐，有俗气的情歌，有涩气的歌词，有绝美的律动，可我就是爱。-因为浪漫就是玫瑰，红色的。因为浪漫就是R&B，我爱的。,40792,2710009,73,326
当春风吹进民谣里【欧美篇】,欧美-民谣-另类/独立,介绍：当春风吹进民谣，你是否能看见那和煦的阳光，能细嗅那野花的芬芳，能聆听那悠悠轻快的歌声……,25268,1718966,20,230
R&B血型人の节奏布鲁斯 浪漫小屋,欧美-R&B/Soul-浪漫,介绍：欢迎来到我的R&B音乐の浪漫小屋~如果音乐有血型，那你一定是R&B血型人，每日续命R&B推荐.建议随机播放~希望你喜欢，有不错的R&B歌曲可私信投稿我哦！感谢你你支持~持续更新中……愿你一切愉快！,32,3144,48,评论
『欧美小众』生有热烈，藏与俗常,欧美-放松-快乐,介绍：在目前生活条件达不到的情况下 把热爱藏在心里 不要放弃热爱 在平常一点一滴中去接近热爱！（๑•̀㉨•́ฅ✧ ,1122,109408,103,1
氛围R&B：浪漫血型 R&B血型人的每日必听曲,欧美-R&B/Soul-流行,介绍：如果音乐有血型，那我一定是R&B血型人，每日续命R&B推荐.建议随机播放~希望你喜欢，有不错的R&B歌曲可私信投稿我哦！感谢你的支持~持续更新中……,4521,326586,179,12
【永劫无间】单排 练刀必备,电子-欧美,介绍：骗我感情可以 但不能骗我振刀采集各平台永劫无间主播高然 卡点视频歌曲 一起打游戏dd欢迎转发 投稿 收藏持续更新...,3575,326107,71,14
封面正確！旋律正確！PHONK 启动！,欧美-电子-驾车,介绍：封面正確！旋律正確！PHONK 启动！鋼是在烈火與驟冷中鑄造而成的，只有這樣它才能堅硬，什麼都不懼怕。不要相信999＋，要相信自己的耳朵！PHONK（冯克）是一种迷幻电子的Trap音乐，主要结构是JAZZ、BLUES、SOUL的采样（或原创旋律）加上Memphis Rap或Modern Trap的Acapella，给人一种脱离现实，迷幻沉醉的感觉。,1403,142912,84,8
R&B氛围｜被多巴胺旋律围绕的质感女孩,R&B/Soul-欧美,介绍：“被多巴胺赋予的R&B，对新的一天充斥着快乐向往美好走在街上的氛围都非常有质感！-歌单包括当代RP-R&B等/每周一更封面：FKA,1123,119162,66,11
Funk舞厅 · 摇摆于复古派对,欧美-R&B/Soul-放松,介绍：今夜只属于我们，奔赴Funk舞厅，让我们摇摆起来。神秘有带感的前奏，清爽的少年音，有又一点复古的感觉，好像一下子回到了上个世纪的派对一样，羞涩的男孩邀请心悦的女孩共跳一支舞。funk是一种音乐流派，起源于1960 年代中期的非裔美国人社区，当时音乐家通过混合灵魂乐、爵士乐和节奏蓝调 (R&B)创造了一种有节奏的、可跳舞的新音乐形式。Funk 衍生物包括1.avant-funk，一种前卫的 funk；2.boogie，电子音乐和放克的混合体；放克金属，放克和金属的混合体；3.G-funk，黑帮说唱和放克的混合体；4.Timba，一种时髦的古巴舞曲等等。Funk样本和breakbeats已广泛用于嘻哈音乐和电子舞曲。放克音乐的特点是时髦、切分音的低音线和稳定、有感染力的鼓律动，这使其成为 1970 年代和 80 年代最受欢迎的流派之一。像 James Brown 和 George Clinton（Parliament-Funkadelic 的领导人）这样的放克艺术家启发了许多音乐家，并帮助催生了迪斯科、嘻哈甚至放克金属等流派。风格：Nu-Funk/Robo-Funk/Rock Funk等等,17603,1116626,69,50
【欧美】 拽姐出街 辣妹必备,欧美-夜晚,介绍：Born to be layman likes money and touch生而俗人 喜欢金钱和感动.【包含E标 or hiphop】非全部English！,10117,1027705,224,11
给我一把弹不累的吉他,民谣-欧美-吉他,介绍：一些让人痴迷的嗓音，莫名的无法控制自己。 （第一个歌单，暂时不写太多的介绍，这个歌单中心点是成熟的大叔嗓音，我做的也是小众歌单，很多歌大家或许没有听过，然后是以吉他为主题的一个歌单，歌单中一部分音乐是吉他，希望大家以后能多给点意见）,61898,4035100,33,507
浪漫氛围感｜浸于R&B的极致浪漫氛围中,欧美-R&B/Soul-流行,介绍：“我是一个热爱生活的人 我要找的是一个喝了酒眼睛会发光跟我讲浪漫和爱的人 我想要浪漫 我想要一起去海边 一起拥抱 一起接吻一起挤在LiveHouse喝汽水 永远自由永远热泪盈眶”,867,75636,151,5
INFP｜欢迎来到小蝴蝶的精神角落,治愈-欧美-轻音乐,介绍：大自然 放空 发呆 书籍 音乐 静谧 感受 自由炽热这是属于小蝴蝶治愈系列的歌单～天生敏感的性格感觉自己难以融入这个世界不妨换个角度看待问题接纳你独特的灵魂至少..试着享受作为infp存在于这世上的每分每秒————————————————————————INFP人格追求内心的愉悦专注自我而忽视外界的纷扰对这个世界充满想象力和好奇心注重情感和情绪并且喜欢探索生活中未知INFP人格也被称为小蝴蝶是因为这一群人追逐美好、憧憬浪漫也带着点亲近自然、无拘无束的意味,16663,367232,241,163
欧美说唱//让人上瘾并沉迷的致命迷幻,欧美-说唱-兴奋,介绍：“孤独是个始作俑者 所以对热闹退避三舍”没有什么人上人 不跟从所谓鄙视链听不惯就自行离开 没人想听你瞎点评,4341,552021,100,17
R&B|坠入意乱情迷的浪漫夜晚,欧美-R&B/Soul,介绍：芬芳玫瑰配上香甜红酒，海岛般微醺的浪漫氛围，舒缓甜蜜的歌词，在你耳边喃喃低语，就让这个歌单陪你度过浪漫时光。,201,19646,60,2
下班的路 | 听歌解除一天的疲劳,欧美-放松-治愈,介绍：一个加班的夜晚，一个人回家，被疲惫感环绕耳机里音乐放的很大声，列车缓缓启动，一路上，时而伴着流星划过的夜空，时而欣赏着绵延不断的城市夜景。坐在车窗旁边，心情也随着宁静的旅程逐渐平静了下来。忙碌的一天似乎被慢慢抛到了身后，留给我的是一份宁静。歌单风格：Pop / R&B /Dace / Rap /都是属于本人上下班通勤时的最爱，希望陌生的你能够喜欢♡,216,29082,55,2
前线少女｜Strawberry草莓味快乐向听歌指南,欧美-流行-快乐,介绍：欧美偏甜风~可爱的 草莓味的，前线少女快乐向听歌指南~世间的温柔皆如干净的云朵和你，所有的温柔眷恋都是对你灿若星辰的喜欢~,66,8136,51,3
那些超燃超带感的英文歌【精选合集no.1】,欧美-电子-游戏,介绍：封面人物：Dasha Taran（达莎.塔兰）【本篇系列歌单合集no.1每首都是你们熟悉的听过的 但又不知道名字的歌曲这里的每首歌都值得你们单曲循环 百听不厌哦】【禁止搬运 模仿！！！】【歌单合集系列no.2在头像主页 欢迎收听收藏】,47295,6131772,79,265
氛围感歌单｜性与愛缠绵 暧昧与涩涩最佳,欧美-流行-R&B/Soul,介绍：氛围感歌单，dois或涩涩最佳，适度享用怡情，也可耳朵纯享.浪漫缠绵 性感氛围调调 像是昨晚穿了吊带化了大浓妆，在舞池里喝到微醺蹦哒了一夜，回家洗净铅华和污垢，烟味和酒臭，带着隐隐的皂香，陷在纯棉睡衣和鸭绒被里睡到天明，起来为自己冲一杯咖啡的温柔。,22635,1208205,142,27
欧美百首佳曲：流行经典永不过时,欧美-00后-榜单,介绍：看到有的友友喜欢听那个歌单但太多歌曲要vip，今天有空给友友们制作一个免费版的歌单，希望喜欢，蟹蟹你收听我的歌单,137,7508,110,1
R&B│自由的节拍融入各自的旋律,欧美-R&B/Soul-治愈,介绍：灵魂布鲁斯，节奏布鲁斯，放克布鲁斯，嘻哈布鲁斯。你喜欢哪款呢。主要做给布鲁斯大杂烩歌单。本单灵魂布鲁斯应该会多一点（别的后面也会慢慢加）。节奏紧扣、鼓点，独唱与伴唱之间交流对唱，特别紧绷的发声，是灵魂布鲁斯的主要特色。,140,20313,50,评论
性感高级慵懒风英文歌【持续更新】,欧美-夜晚-浪漫,介绍：And when we fell in love，you make me feel special.当你我沉溺爱河时 我因你而特别。——《Know No Better》Justin Bieber/DaBaby,42193,3011013,183,165
浪漫R&B｜趁着微醺醉意和你讲浪漫与爱,欧美-R&B/Soul-流行,介绍：玫瑰与晚霞的绑架没有救赎我们都是上瘾的囚徒在海边感受的微风拂过手里拿着果酒 和爱人在一起看着粉紫色的落日微醺的温柔蒸汽波钻进耳朵优雅又慵懒 舒服又迷人~这样的氛围感真的太应景啦！愿你一切愉快！,12682,824461,137,19
小众高级感｜浪漫 鼓点 微醺 极致氛围,欧美-R&B/Soul-流行,介绍：小众的氛围不需要去迎合大众的喜爱，清醒中保持情调，保持平静，做一个独众优雅的听者.偏向：R&B 鼓点流行乐 小众又不小众的歌曲标签：浪漫 慵懒 舒适 夜晚 微醺 氛围感,5629,301789,109,9
Country | 自驾旅行，赏乡野风情,欧美-乡村-旅行,介绍：乡村音乐（Country Music），又称西部音乐。20世纪20年代初，起源于美国南部的一种流行音乐流派。在2009年发展达巅峰，成为美国晚间通勤高峰时段收听最多的广播类型。通常由民谣和舞曲组成，形式简单，民谣和和声大多由弦乐器如班卓琴、电吉他和原声吉他、钢棒吉他等伴奏，小提琴和口琴也被广泛使用。并抛开了在流行乐中用得很广的“电子”声(效果器)。歌手本身的嗓音也经常带有美国的南部口音。曲调简单，节奏平稳，带有叙事性，具有较浓的乡土气息，亲切热情而不失流行元素的乡村音乐着实是与心爱之人自驾出门旅行的最佳伴侣！———————————————————秋阳普照着山川河流，与阳光对视，找回一些春夏的盛情。风从山那边吹来，带来森林的萧瑟。流逝的岁月起伏而迷茫。来也匆匆，去也匆匆，如湖面没有涟漪的平静，而生命在春天日升时刚刚形成，却又在深秋日落时变得老态龙钟，这难道就是生命的历程?直到你从山的那头走来，秋风、落叶、残阳，尽皆明媚。参考资料：乡村音乐学院奖（The Academy of Country Music Awards）、格莱美乡村音乐奖。,24803,2343629,96,139
“你应该是洒脱的 自由的 勇敢的”,欧美-流行-放松,介绍：太喜欢这种感觉了粉红的天空逐渐消失的太阳 迷幻又浪漫风轻抚发丝 余晖亲吻脸颊我与世界瞬间相拥 不需要人潮汹涌我自在孤独又充盈温暖自由随风奔驰,8284,552983,172,60
California vibes｜公路旅行兜风 浪漫自由,欧美-R&B/Soul-驾车,介绍：像在水汽冒泡的傍晚开着敞篷跑车看着粉红的天空 成排的椰子树逐渐消失的日落 迷幻自由又浪漫是慵懒的黄昏敞篷汽车在棕榈大道中间慢慢驶过抬头就见橘粉色的霞光涂满了天际关键词:日落 驾车 傍晚 兜风音乐 慵懒 自由 浪漫————————————2023.7.17创建,30221,1878317,228,64
「英伦摇滚」唱片中的昔日时光,欧美-摇滚-英伦,介绍：这是一张以英伦摇滚（Britpop）为主要风格的歌单。英伦摇滚是20世纪90年代兴起，在英伦地区广泛流行，并在21世纪初逐渐退潮的一种风格。英伦摇滚作品中使用的乐器一般以吉他为核心，节奏明快而旋律流畅；作品的主题通常与同时期英国青年对生活的所见所思相关。我在这张歌单中收集了英伦摇滚乐队在这一时期的相关专辑作品中的曲目，试图用这些曲子带大家回味这些留存在唱片中的，独特而有魅力的英伦摇滚作品。制作这一张歌单的初衷还是希望用更简明的方式，较为全面的介绍这些和英伦摇滚相关的乐队和他们的专辑作品。并为他们与Britpop风格相关的专辑提供索引。分段：排名不分先后，主要是按这些乐队在Britpop风格中的影响而分部的，并不代表他们取得的总体成就。第一部分：1~30：在英伦摇滚历史上有重要影响的乐队在Britpop兴盛时期的作品；其中The Stone Roses被认为是Britpop的鼻祖且音乐风格较为接近，所以虽然在时间上早于这一时期，但也被包括在这一部分中。第二部分：31~86（按艺术家字母顺序排列，下同）在英伦摇滚历史上有重要贡献或以此为主要风格的乐队作品。第三部分：87~147：在英伦摇滚历史上有一定影响，或有部分作品符合Britpop的定义的乐队作品。更新日志：9.12：创意形成；9.13：艺术家名录初步收集完成；9.14~9.26：按他们的专辑和单曲作品查询风格并收听，完成初步收集；9.27：调整顺序，发布。花絮：1.有不少乐队（或艺术家）只有部分专辑作品表现出接近Britpop的特征，例如Radiohead、Coldplay、Travis等乐队早期作品中的部分曲目。他们的作品一方面表现出类似Britpop的特征，一方面也受到另类和独立摇滚等风格的影响，且在时间上与Britpop略有区分，所以被划分为Post-Britpop（后英伦摇滚）风格或称具有此风格的特征。这些乐队的作品主要被放在歌单的第三部分，了解他们的相关作品对了解Britpop的发展经历是有一定帮助的。2. 在20世纪80年代时，The Stone Roses和The Smiths这两支乐队的作品中的一些特征，例如琅琅上口的旋律，以及透过歌词表现的自由和独立，对之后的Britpop乐队和作品产生了重要的影响，所以这张歌单也有收录。祝您欣赏愉快！,12万,9350382,147,446
R&B缓解焦虑烦躁 舒适丝滑律动 慵懒氛围,欧美-R&B/Soul-流行,介绍：钃鸜麷鞻鬰靊飝我喜欢你虪齺靐齉齾爩鱻爨癵籱饢驫麣纞，把你认识的字发给我，咱们的故事就开始了后续选歌再添加歌单，严选你们想听的好歌氛围感拉满 微醺 沉醉，好歌与朋友分享转发收藏,19106,1358946,283,57
小众英文 ｜ 独立宝藏音乐挖掘计划,欧美-流行-夜晚,介绍：许多时候想把自己喜欢的音乐分享给别人是因为想让别人也能喜欢上这首音乐，也能理解自己但是这个世界上真正的共情和感同身受都太难得人类的悲喜有时并不相通所以评论不满 999+ 依旧不妨碍我热烈的喜欢她,2108,273083,140,47
